movie_id,title,genre,language,cast,director,runtime,rating,keywords,release_year,overview
1,Inception,Sci-Fi Thriller,English,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",Christopher Nolan,148,8.8,dream heist subconscious layered reality mind-bending,2010,A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea into a target's subconscious.
2,Interstellar,Sci-Fi Drama,English,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",Christopher Nolan,169,8.7,space time travel wormhole survival fatherhood,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
3,The Dark Knight,Action Crime,English,"Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,152,9.0,batman joker gotham vigilante crime,2008,"When the menace known as the Joker wreaks havoc on Gotham, Batman must accept one of the greatest psychological tests of his ability to fight injustice."
4,3 Idiots,Comedy Drama,Hindi,"Aamir Khan, R. Madhavan, Sharman Joshi",Rajkumar Hirani,170,8.4,friendship college engineering coming-of-age,2009,"Two friends search for their long-lost companion, reminiscing about their college days and the trouble they used to make."
5,Parasite,Thriller Drama,Korean,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",Bong Joon-ho,132,8.5,class inequality family dark-comedy social-satire,2019,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
6,La La Land,Musical Romance,English,"Ryan Gosling, Emma Stone",Damien Chazelle,128,8.0,jazz love hollywood dreams musical,2016,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations."
7,Spirited Away,Animation Fantasy,Japanese,"Rumi Hiiragi, Miyu Irino",Hayao Miyazaki,125,8.6,spirits magic coming-of-age bathhouse fantasy,2001,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits."
8,The Shawshank Redemption,Drama,English,"Tim Robbins, Morgan Freeman",Frank Darabont,142,9.3,prison friendship hope redemption,1994,"Two imprisoned men bond over years, finding solace and eventual redemption through acts of common decency."
9,Money Heist,Crime Thriller,Spanish,"Ursula Corbero, Alvaro Morte, Itziar Ituno",Alex Pina,70,8.2,heist robbery mastermind tv-series ensemble,2017,An unusual group of robbers attempt to carry out the biggest heist in recorded history at the Royal Mint of Spain.
10,Coco,Animation Family,English,"Anthony Gonzalez, Gael Garcia Bernal",Lee Unkrich,105,8.4,family music afterlife mexico animation,2017,Aspiring musician Miguel enters the Land of the Dead to unravel the mystery behind his family's ban on music.
11,Gladiator,Action Drama,English,"Russell Crowe, Joaquin Phoenix",Ridley Scott,155,8.5,rome revenge arena empire war,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.
12,Zindagi Na Milegi Dobara,Comedy Drama,Hindi,"Hrithik Roshan, Farhan Akhtar, Abhay Deol",Zoya Akhtar,155,8.1,friendship road-trip self-discovery spain,2011,Three friends decide to turn their fantasy vacation into reality after one of them gets engaged.
13,Train to Busan,Horror Thriller,Korean,"Gong Yoo, Ma Dong-seok",Yeon Sang-ho,118,7.6,zombie survival train outbreak family,2016,"While a zombie virus breaks out in South Korea, passengers struggle to survive on a train bound for Busan."
14,The Grand Budapest Hotel,Comedy Drama,English,"Ralph Fiennes, Tony Revolori",Wes Anderson,99,8.1,hotel caper whimsical concierge europe,2014,The adventures of a legendary concierge at a famous European hotel and the lobby boy who becomes his trusted friend.
15,Your Name,Animation Romance,Japanese,"Ryunosuke Kamiki, Mone Kamishiraishi",Makoto Shinkai,106,8.4,body-swap fate connection romance anime,2016,"Two strangers find themselves linked in a bizarre way, discovering they are swapping bodies across time and space."
16,Whiplash,Drama Music,English,"Miles Teller, J.K. Simmons",Damien Chazelle,106,8.5,jazz drumming mentor obsession ambition,2014,A young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing.
17,Dangal,Sports Drama,Hindi,"Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra",Nitesh Tiwari,161,8.3,wrestling father-daughter sports biopic,2016,Former wrestler Mahavir Singh Phogat trains his daughters to become India's first world-class female wrestlers.
18,The Social Network,Drama Biography,English,"Jesse Eisenberg, Andrew Garfield",David Fincher,120,7.7,facebook startup betrayal silicon-valley biopic,2010,The story of the founders of Facebook and the lawsuits that followed the social network's success.
19,Life Is Beautiful,Comedy Drama,Italian,"Roberto Benigni, Nicoletta Braschi",Roberto Benigni,116,8.6,holocaust family sacrifice father humor,1997,A Jewish father uses humor to shield his son from the horrors of a Nazi concentration camp.
20,Stranger Things,Sci-Fi Horror,English,"Millie Bobby Brown, Finn Wolfhard",The Duffer Brothers,51,8.7,supernatural 80s upside-down friendship monster,2016,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces to get him back."
